"","Title","Genre","Runtime","Rank","IMDB_rating","Description"
"1","Captain America: Civil War","Action",147,1,7.8,"Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man."
"2","Deadpool","Action",108,2,8,"A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge."
"3","Suicide Squad","Action",123,3,6.1,"A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse."
"4","The Purge: Election Year","Action",108,4,6,"Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge."
"5","Split","Horror",117,5,7.3,"Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."
"6","Moana","Animation",107,6,7.6,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
"7","Brain on Fire","Biography",88,7,6.6,"A young, capable professional cannot explain her newly erratic behavior."
"8","Sing","Animation",108,8,7.1,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."
"9","Doctor Strange","Action",115,9,7.5,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
"10","Batman v Superman: Dawn of Justice","Action",151,10,6.6,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
"11","Fantastic Beasts and Where to Find Them","Adventure",133,11,7.4,"The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school."
"12","Ghostbusters","Action",116,12,5.3,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
"13","X-Men: Apocalypse","Action",144,13,7,"After the re-emergence of the world's first mutant, the world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
"14","Now You See Me 2","Action",129,14,6.5,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
"15","Arrival","Drama",116,15,7.9,"A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world."
"16","Hacksaw Ridge","Biography",139,16,8.2,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
"17","13 Hours","Action",144,17,7.3,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."
"18","Star Trek Beyond","Action",122,18,7.1,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."
"19","Don't Breathe","Crime",88,19,7.1,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
"20","Trolls","Animation",92,20,6.5,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
"21","The Shallows","Drama",86,21,6.3,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."
"22","Zootropolis","Animation",108,22,8,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
"23","La La Land","Comedy",128,23,8.1,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
"24","Me Before You","Drama",106,24,7.4,"A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of."
"25","Nocturnal Animals","Crime",116,25,7.5,"A wealthy art gallery owner receives a draft of her ex-husband's new novel, a violent thriller she interprets as a veiled threat and a symbolic revenge tale."
"26","Central Intelligence","Action",107,26,6.3,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
"27","Jack Reacher: Never Go Back","Action",118,27,6.1,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever."
"28","Rogue One","Action",133,28,7.8,"The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans."
"29","The Jungle Book","Adventure",106,29,7.4,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
"30","The Magnificent Seven","Action",132,30,6.9,"Seven gunmen in the old west gradually come together to help a poor village against savage thieves."
"31","Passengers","Drama",116,31,7,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
"32","The Girl on the Train","Crime",112,32,6.5,"A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life."
"33","Warcraft: The Beginning","Action",123,33,6.9,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
"34","Sausage Party","Animation",89,34,6.2,"A sausage strives to discover the truth about his existence."
"35","Jason Bourne","Action",123,35,6.6,"The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past."
"36","The Legend of Tarzan","Action",110,36,6.3,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
"37","Kimi no na wa.","Animation",106,37,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
"38","Hidden Figures","Biography",127,38,7.8,"The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program."
"39","The Belko Experiment","Action",89,39,6.1,"In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogot¨¢, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed."
"40","Finding Dory","Animation",97,40,7.3,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
"41","The Conjuring 2","Horror",134,41,7.4,"Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit."
"42","The Boss","Comedy",99,42,5.4,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget."
"43","The Accountant","Action",128,43,7.4,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
"44","War Dogs","Comedy",114,44,7.1,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."
"45","The Lost City of Z","Adventure",141,45,6.6,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s."
"46","The Secret Life of Pets","Animation",87,46,6.5,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
"47","Teenage Mutant Ninja Turtles: Out of the Shadows","Action",112,47,6,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang."
"48","Miss Peregrine's Home for Peculiar Children","Adventure",127,48,6.7,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
"49","Moonlight","Drama",111,49,7.4,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
"50","Hell or High Water","Crime",102,50,7.6,"A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas."
"51","Contratiempo","Crime",106,51,8.1,"While the clock is ticking, with the aid of a witness preparation expert, a successful entrepreneur accused of murder has less than three hours to come up with an impregnable defence."
"52","The Neon Demon","Horror",118,52,6.2,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister."
"53","Nerve","Action",96,53,6.6,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."""
